cohort_id,cohort_code,academy_id,cohort_number,max_participants,day_of_week,session_time,status,created_at,updated_at,is_active,data_source
901,COH-900900900900,344,1,12,Thursday,Afternoon,Active,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
902,COH-901901901901,85,2,13,Thursday,Evening,Active,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
903,COH-902902902902,51,3,14,Thursday,Afternoon,Completed,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
904,COH-903903903903,150,4,15,Tuesday,Afternoon,Completed,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
905,COH-904904904904,295,1,8,Friday,Morning,Active,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
906,COH-905905905905,355,2,9,Tuesday,Morning,Completed,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
907,COH-906906906906,340,3,10,Thursday,Morning,Active,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
908,COH-907907907907,182,4,11,Tuesday,Evening,Completed,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
909,COH-908908908908,191,1,12,Thursday,Evening,Completed,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
910,COH-909909909909,253,2,13,Friday,Morning,Completed,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
911,COH-910910910910,172,3,14,Tuesday,Morning,Planned,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
912,COH-911911911911,56,4,15,Wednesday,Afternoon,Planned,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
913,COH-912912912912,280,1,8,Thursday,Evening,Active,2026-01-06 17:02:27.156421+00:00,2026-01-06 17:02:27.156421+00:00,True,dbldatagen_synthetic
