outcome_id,participant_id,outcome_type_id,outcome_date,weeks_from_program_end,sector,hours_per_week,salary_band,employer_type,outcome_source,verified,recorded_by_staff_id,is_sustained_13_weeks,is_sustained_26_weeks,created_at,updated_at,is_active,data_source
3001,1146,9,2024-12-06,3,Retail,38,Living Wage,Self,Employer Confirmation,False,30,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3002,7310,5,2023-10-11,4,Retail,39,National Minimum Wage,SME,Participant Self-Report,True,110,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3003,3394,7,2024-09-17,5,Healthcare,40,Above Living Wage,Public Sector,Participant Self-Report,False,97,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3004,4737,7,2023-09-17,6,Healthcare,8,Living Wage,Self,Partner Referral,True,147,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3005,4892,5,2023-10-23,7,Hospitality,9,Not Applicable,Public Sector,Employer Confirmation,False,98,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3006,646,8,2025-06-28,8,Other,10,Living Wage,Large Employer,Partner Referral,True,115,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3007,5743,3,2024-01-02,9,Retail,11,Above Living Wage,SME,Participant Self-Report,False,2,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3008,6666,8,2024-07-31,10,Retail,12,Above Living Wage,SME,Participant Self-Report,True,112,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3009,4904,2,2024-11-01,11,Sport & Leisure,13,Not Applicable,Charity/Non-profit,Employer Confirmation,False,22,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3010,521,6,2023-10-20,12,Other,14,National Minimum Wage,Large Employer,Participant Self-Report,True,69,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3011,7330,4,2025-12-11,13,Logistics,15,Not Applicable,Public Sector,Employer Confirmation,False,116,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3012,519,9,2025-05-13,14,Logistics,16,Not Applicable,Charity/Non-profit,Participant Self-Report,True,64,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3013,5705,5,2024-05-20,15,Construction,17,Living Wage,Charity/Non-profit,Participant Self-Report,False,142,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3014,554,10,2025-04-16,16,Hospitality,18,Living Wage,Large Employer,Participant Self-Report,True,117,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3015,6358,10,2024-07-12,17,Retail,19,Not Applicable,SME,Employer Confirmation,False,114,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3016,3812,3,2024-01-21,18,Logistics,20,Not Applicable,SME,Employer Confirmation,True,141,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3017,812,7,2025-05-30,19,Customer Service,21,Living Wage,SME,Participant Self-Report,False,113,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3018,5245,4,2023-06-27,20,Hospitality,22,National Minimum Wage,Charity/Non-profit,Partner Referral,True,47,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3019,5613,4,2023-04-20,21,Healthcare,23,Living Wage,Public Sector,Partner Referral,False,50,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3020,1573,8,2025-09-03,22,Hospitality,24,National Minimum Wage,Public Sector,Participant Self-Report,True,66,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3021,6912,5,2023-10-11,23,Retail,25,Not Applicable,SME,Employer Confirmation,False,18,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3022,4975,5,2023-05-24,24,Retail,26,Living Wage,Self,Participant Self-Report,True,7,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3023,3806,10,2024-08-16,25,Logistics,27,National Minimum Wage,SME,Participant Self-Report,False,53,True,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3024,876,2,2025-10-28,26,Hospitality,28,National Minimum Wage,SME,Partner Referral,True,55,True,True,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
3025,589,2,2025-05-10,0,Customer Service,29,Above Living Wage,Charity/Non-profit,Employer Confirmation,False,81,False,False,2026-01-06 17:07:11.707450+00:00,2026-01-06 17:07:11.707450+00:00,True,dbldatagen_synthetic
