outcome_type_id,outcome_name,outcome_code,outcome_category,description,created_at,updated_at,is_active,data_source
1,Full-time Employment,EMFT,Employment,Secured full-time employment (30+ hours/week),2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
2,Part-time Employment,EMPT,Employment,Secured part-time employment (<30 hours/week),2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
3,Apprenticeship,APPR,Employment,Started an apprenticeship program,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
4,Further Education,EDFE,Education,Enrolled in college or further education,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
5,Higher Education,EDHE,Education,Enrolled in university,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
6,Vocational Training,TRVOC,Training,Started vocational training course,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
7,Work Experience,WEXP,Training,Completed work experience placement,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
8,Volunteering,VOLUN,Positive Activity,Started regular volunteering,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
9,Self-Employment,SEMP,Employment,Started own business or freelance work,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
10,Traineeship,TRAIN,Training,Started a traineeship program,2026-01-06 16:55:54.230149+00:00,2026-01-06 16:55:54.230149+00:00,True,dbldatagen_synthetic
