participant_id,participant_code,cohort_id,age_band,employment_status_at_entry,education_level_at_entry,referral_source,completion_status,enrollment_date,created_at,updated_at,is_active,data_source
1,PRT-00000,176,16-17,Part-time Employed,No Qualifications,Partner Organisation,Completed,2024-06-24,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
2,PRT-11111,604,20-21,Student,Level 1,Partner Organisation,In Progress,2024-06-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
3,PRT-22222,306,16-17,Part-time Employed,No Qualifications,Job Centre,In Progress,2025-06-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
4,PRT-33333,827,18-19,Economically Inactive,Level 1,Local Authority,Completed,2025-06-27,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
5,PRT-44444,255,18-19,Unemployed,Level 1,Partner Organisation,Completed,2025-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
6,PRT-55555,409,18-19,Unemployed,No Qualifications,Partner Organisation,Completed,2024-03-30,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
7,PRT-66666,764,16-17,Economically Inactive,Level 2,Job Centre,Completed,2024-03-31,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
8,PRT-77777,36,20-21,Economically Inactive,Level 3+,Self-Referral,Completed,2025-04-01,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
9,PRT-88888,915,22-24,Unemployed,Level 1,Local Authority,Transferred,2024-07-02,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
10,PRT-99999,979,20-21,Unemployed,Entry Level,Job Centre,Completed,2025-10-03,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
11,PRT-1010101010,1140,18-19,Economically Inactive,Level 1,Job Centre,Completed,2024-07-04,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
12,PRT-1111111111,636,16-17,Part-time Employed,Entry Level,Job Centre,Completed,2023-01-05,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
13,PRT-1212121212,1131,16-17,Unemployed,Entry Level,Local Authority,Completed,2023-04-06,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
14,PRT-1313131313,108,25+,Unemployed,Level 3+,Other,In Progress,2024-07-07,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
15,PRT-1414141414,593,18-19,Economically Inactive,Entry Level,Partner Organisation,In Progress,2023-04-08,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
16,PRT-1515151515,350,16-17,Student,Entry Level,School/College,Completed,2024-10-09,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
17,PRT-1616161616,75,22-24,Unemployed,Entry Level,Job Centre,In Progress,2024-04-10,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
18,PRT-1717171717,977,22-24,Unemployed,Entry Level,Self-Referral,Completed,2025-10-11,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
19,PRT-1818181818,23,18-19,Economically Inactive,Level 1,Partner Organisation,Completed,2023-04-12,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
20,PRT-1919191919,396,20-21,Unemployed,Entry Level,Local Authority,Completed,2025-10-13,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
21,PRT-2020202020,72,22-24,Unemployed,Level 2,School/College,In Progress,2025-07-14,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
22,PRT-2121212121,546,25+,Part-time Employed,Level 1,School/College,Transferred,2023-04-15,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
23,PRT-2222222222,1003,18-19,Economically Inactive,Entry Level,Job Centre,In Progress,2023-03-25,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
24,PRT-2323232323,868,20-21,Unemployed,No Qualifications,School/College,In Progress,2024-12-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
25,PRT-2424242424,287,18-19,Part-time Employed,Level 2,Partner Organisation,Completed,2023-09-26,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
26,PRT-2525252525,1159,20-21,Unemployed,Level 2,Local Authority,In Progress,2024-03-28,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
27,PRT-2626262626,2,20-21,Part-time Employed,No Qualifications,Other,Transferred,2024-03-29,2026-01-06 17:03:11.121258+00:00,2026-01-06 17:03:11.121258+00:00,True,dbldatagen_synthetic
